Zeit (s),HR roh,HR gefiltert,RR roh,RR gefiltert
0.000,98.514,98.712,24.490,24.530
0.300,101.586,100.245,26.535,25.759
0.600,98.460,99.509,25.829,25.988
0.900,103.692,101.576,24.694,25.386
1.200,101.858,102.046,24.983,25.172
1.500,98.418,100.734,25.422,25.262
1.800,102.520,101.556,24.968,25.119
2.100,100.713,101.397,25.330,25.175
2.400,100.504,101.200,26.209,25.538
2.700,98.356,100.332,26.421,25.864
3.000,110.516,103.500,24.625,25.530
3.300,101.297,103.151,27.532,26.137
3.600,98.805,102.182,26.747,26.377
3.900,100.926,101.975,27.875,26.853
4.200,101.199,101.875,26.633,26.917
4.500,100.106,101.530,27.749,27.224
4.800,99.542,101.117,26.834,27.265
5.100,97.797,100.393,26.760,27.277
5.400,98.986,100.046,25.951,27.117
5.700,102.499,100.485,27.350,27.254
6.000,102.671,100.894,25.919,27.093
6.300,78.089,96.408,26.324,27.028
6.600,100.410,96.869,26.543,27.007
6.900,99.941,97.197,28.072,27.253
7.200,100.323,97.569,27.088,27.296
7.500,97.285,97.348,27.083,27.329
7.800,99.809,97.626,27.558,27.433
8.100,nan,97.458,27.623,27.531
8.400,98.947,97.636,28.939,27.823
8.700,101.379,98.276,26.482,27.695
9.000,97.680,98.098,29.071,27.976
9.300,nan,98.012,28.021,28.064
9.600,102.101,98.838,26.711,27.939
9.900,102.720,99.629,26.469,27.785
10.200,100.549,99.851,26.609,27.662
10.500,nan,99.914,27.296,27.650
10.800,103.058,100.656,26.819,27.566
11.100,101.176,100.856,26.929,27.503
11.400,102.566,101.294,26.555,27.388
11.700,100.520,101.263,25.843,27.177
12.000,100.618,101.251,29.704,27.551
12.300,104.292,101.907,26.972,27.491
12.600,95.713,100.923,26.323,27.339
12.900,98.385,100.529,27.770,27.411
13.200,nan,100.564,26.013,27.220
13.500,103.994,101.295,27.241,27.223
13.800,101.434,101.396,25.120,26.916
14.100,100.616,101.320,13.275,24.906
14.400,101.128,101.347,25.712,24.886
14.700,103.067,101.724,25.121,24.790
15.000,100.359,101.557,25.584,24.780
15.300,101.808,101.665,26.438,24.904
15.600,99.279,101.306,26.054,24.969
15.900,99.960,101.104,25.539,24.962
16.200,144.374,108.739,27.029,25.178
16.500,100.690,107.859,24.960,25.081
16.800,99.608,106.844,25.967,25.143
17.100,101.494,106.234,27.256,25.393
17.400,99.993,105.401,26.038,25.448
17.700,105.526,105.602,26.834,25.617
18.000,98.606,104.560,23.834,25.336
18.300,103.600,104.485,24.917,25.239
18.600,108.107,105.197,25.436,25.228
18.900,124.430,108.674,24.588,25.097
19.200,99.760,107.468,22.493,24.675
19.500,101.284,106.627,24.691,24.612
19.800,105.720,106.630,26.315,24.796
20.100,101.992,105.969,24.176,24.657
20.400,101.421,105.266,23.830,24.483
20.700,103.427,104.980,23.672,24.304
21.000,104.057,104.832,24.259,24.231
21.300,102.497,104.426,23.309,24.030
21.600,100.007,103.629,23.959,23.945
21.900,105.293,103.841,23.121,23.751
22.200,104.616,103.919,22.661,23.512
22.500,103.410,103.783,23.969,23.489
22.800,103.796,103.732,21.780,23.156
23.100,102.091,103.394,21.713,22.847
23.400,102.934,103.244,23.700,22.861
23.700,102.062,102.963,23.881,22.908
24.000,100.859,102.508,23.569,22.913
24.300,105.857,102.980,nan,22.814
24.600,99.540,102.310,22.934,22.752
24.900,104.188,102.527,22.689,22.661
25.200,102.112,102.369,22.918,22.621
25.500,103.230,102.429,22.233,22.482
25.800,104.311,102.678,21.566,22.260
26.100,103.073,102.692,28.941,23.191
26.400,100.112,102.193,21.573,22.919
26.700,108.378,103.191,22.885,22.872
27.000,106.518,103.766,22.065,22.710
27.300,103.952,103.833,22.167,22.581
27.600,102.664,103.666,20.579,22.233
27.900,107.601,104.373,20.781,21.950
28.200,100.965,103.848,21.812,21.848
28.500,104.845,104.049,22.264,21.826
28.800,102.455,103.809,nan,21.735
29.100,101.350,103.400,20.912,21.522
29.400,104.567,103.592,21.104,21.371
29.700,102.264,103.364,21.174,21.252
30.000,104.898,103.619,19.752,20.930
30.300,101.256,103.213,21.206,20.871
30.600,104.729,103.455,20.380,20.699
30.900,104.498,103.633,22.489,20.868
31.200,103.903,103.689,20.781,20.771
31.500,105.085,103.944,20.582,20.658
31.800,105.468,104.237,21.856,20.750
32.100,89.999,101.802,20.718,20.672
32.400,nan,101.652,21.077,20.658
32.700,103.619,101.931,21.310,20.685
33.000,105.780,102.593,19.463,20.443
33.300,104.336,102.883,22.430,20.661
33.600,103.220,102.926,20.752,20.620
33.900,103.108,102.943,22.290,20.811
34.200,107.449,103.746,20.369,20.708
34.500,120.399,106.769,23.173,21.027
34.800,103.165,106.366,22.706,21.253
35.100,105.304,106.371,22.314,21.403
35.400,104.187,106.164,22.427,21.558
35.700,107.479,106.543,23.138,21.803
36.000,104.476,106.344,24.293,22.194
36.300,107.413,106.666,24.379,22.563
36.600,108.223,107.084,23.184,22.722
36.900,105.170,106.913,22.117,22.707
37.200,105.344,106.778,22.427,22.734
37.500,105.387,106.652,22.692,22.791
37.800,102.544,106.036,22.752,22.849
38.100,104.075,105.743,23.609,23.022
38.400,104.772,105.598,22.718,23.045
38.700,105.394,105.575,21.328,22.859
39.000,107.259,105.879,23.520,23.005
39.300,103.914,105.567,22.466,22.980
39.600,104.112,105.320,24.260,23.216
39.900,105.961,105.420,23.614,23.334
40.200,106.854,105.667,24.354,23.545
40.500,109.145,106.287,23.815,23.655
40.800,107.594,106.570,23.585,23.718
41.100,104.697,106.313,23.149,23.706
41.400,104.655,106.071,24.649,23.909
41.700,104.124,105.757,23.723,23.955
42.000,108.724,106.277,24.873,24.160
42.300,107.336,106.499,25.604,24.449
42.600,105.836,106.434,23.848,24.451
42.900,123.518,109.452,24.962,24.609
43.200,106.545,109.189,24.428,24.670
43.500,109.368,109.425,23.744,24.620
43.800,107.812,109.349,25.782,24.865
44.100,106.471,109.030,24.221,24.857
44.400,108.008,108.997,26.055,25.110
44.700,102.425,107.984,26.311,25.374
45.000,109.130,108.235,25.308,25.463
45.300,106.061,107.921,25.521,25.568
45.600,106.966,107.792,24.353,25.487
45.900,106.293,107.557,25.114,25.517
46.200,109.837,107.962,27.512,25.888
46.500,109.178,108.209,26.941,26.139
46.800,107.492,108.132,25.711,26.182
47.100,106.616,107.907,26.473,26.325
47.400,106.185,107.628,26.881,26.508
47.700,80.056,102.824,26.124,26.558
48.000,106.847,103.198,25.721,26.537
48.300,106.580,103.513,27.511,26.772
48.600,106.449,103.794,28.368,27.105
48.900,104.900,103.794,27.037,27.209
49.200,106.654,104.116,27.431,27.353
49.500,109.001,104.827,27.070,27.425
49.800,106.461,105.032,21.039,26.602
50.100,105.195,105.001,28.468,26.926
50.400,102.397,104.490,27.139,27.024
50.700,108.755,105.147,28.388,27.292
51.000,106.189,105.293,27.319,27.376
51.300,107.939,105.732,21.645,26.619
51.600,135.561,110.939,27.314,26.748
51.900,106.888,110.597,27.886,26.948
52.200,106.775,110.241,26.902,26.985
52.500,113.395,111.051,26.862,27.010
52.800,nan,111.407,27.197,27.078
53.100,107.093,110.817,24.960,26.811
53.400,105.602,110.019,26.720,26.821
53.700,107.387,109.672,26.648,26.818
54.000,105.162,108.951,29.100,27.172
54.300,107.939,108.830,27.288,27.229
54.600,103.153,107.854,26.901,27.222
54.900,104.669,107.266,27.563,27.309
55.200,108.740,107.474,25.901,27.144
55.500,105.907,107.161,26.257,27.042
55.800,103.510,106.464,25.906,26.896
56.100,108.860,106.787,26.523,26.850
56.400,105.890,106.563,26.169,26.757
56.700,107.495,106.649,24.122,26.372
57.000,109.269,107.041,26.559,26.375
57.300,106.753,106.958,25.939,26.290
57.600,102.489,106.143,25.382,26.132
57.900,106.893,106.186,28.155,26.394
58.200,102.477,105.462,25.414,26.236
58.500,103.085,104.926,27.250,26.361
58.800,108.493,105.400,25.383,26.204
59.100,108.752,105.882,25.500,26.079
59.400,106.652,105.954,24.236,25.781
59.700,105.281,105.785,24.854,25.601
