Zeit (s),HR roh,HR gefiltert,RR roh,RR gefiltert
0.000,105.456,104.434,26.525,26.354
0.100,97.583,101.025,25.243,25.740
0.200,102.604,101.481,26.153,25.905
0.300,100.693,101.000,24.461,25.104
0.400,98.668,99.795,25.197,25.006
0.500,97.893,98.675,27.503,26.060
0.600,102.172,99.670,25.034,25.667
0.700,97.720,98.735,25.275,25.502
0.800,101.579,99.440,24.876,25.246
0.900,105.815,101.349,25.126,25.152
1.000,99.784,100.924,27.824,25.928
1.100,102.487,101.377,26.239,26.045
1.200,102.525,101.733,25.510,25.934
1.300,99.722,101.292,26.266,26.040
1.400,99.968,100.999,25.815,26.014
1.500,105.042,101.939,24.888,25.779
1.600,99.241,101.415,nan,25.784
1.700,98.743,100.875,24.741,25.524
1.800,103.712,101.446,26.113,25.646
1.900,100.169,101.222,24.929,25.487
2.000,97.383,100.494,24.123,25.196
2.100,105.213,101.340,26.488,25.411
2.200,102.120,101.503,23.752,25.091
2.300,105.133,102.182,25.532,25.133
2.400,100.869,102.023,24.905,25.064
2.500,105.042,102.598,26.757,25.309
2.600,101.058,102.426,24.288,25.130
2.700,98.443,101.830,26.578,25.329
2.800,99.564,101.483,26.187,25.446
2.900,98.399,100.982,25.355,25.427
3.000,101.117,100.977,25.248,25.395
3.100,99.977,100.790,28.088,25.774
3.200,97.070,100.157,25.273,25.717
3.300,101.810,100.348,26.700,25.864
3.400,98.845,100.053,27.410,26.096
3.500,100.404,100.039,25.605,26.057
3.600,99.500,99.888,27.645,26.299
3.700,100.806,99.963,25.692,26.253
3.800,101.578,100.157,26.333,26.296
3.900,101.121,100.266,27.628,26.507
4.000,104.143,100.842,25.797,26.454
4.100,102.599,101.124,26.476,26.494
4.200,102.107,101.302,25.708,26.425
4.300,96.537,100.586,nan,26.460
4.400,102.516,100.874,25.511,26.348
4.500,nan,100.879,28.969,26.753
4.600,105.178,101.659,27.514,26.905
4.700,97.275,100.941,25.805,26.797
4.800,98.842,100.585,29.766,27.252
4.900,101.323,100.691,26.927,27.268
5.000,103.144,101.088,28.144,27.447
5.100,108.767,102.361,26.426,27.373
5.200,102.255,102.436,25.598,27.190
5.300,102.343,102.512,24.944,26.931
5.400,99.011,102.041,27.037,26.972
5.500,100.587,101.863,27.170,27.025
5.600,102.508,102.003,26.422,26.973
5.700,104.472,102.436,27.389,27.051
5.800,102.533,102.519,26.845,27.050
5.900,106.556,103.223,27.692,27.159
6.000,nan,103.350,24.553,26.844
6.100,100.921,103.016,24.207,26.506
6.200,101.580,102.840,27.444,26.619
6.300,103.892,103.081,25.414,26.457
6.400,108.332,104.037,26.262,26.420
6.500,103.061,104.000,27.638,26.567
6.600,104.497,104.195,26.757,26.588
6.700,98.214,103.343,27.012,26.641
6.800,98.712,102.654,27.750,26.787
6.900,103.598,102.814,25.993,26.691
7.000,105.090,103.194,27.163,26.756
7.100,100.432,102.798,27.562,26.868
7.200,102.352,102.740,26.860,26.879
7.300,106.335,103.315,26.794,26.880
7.400,106.278,103.826,28.072,27.048
7.500,98.167,103.009,26.515,26.998
7.600,104.103,103.197,24.847,26.730
7.700,102.706,103.146,28.858,27.010
7.800,106.478,103.691,nan,27.028
7.900,105.945,104.099,25.963,26.885
8.000,104.229,104.196,27.551,26.989
8.100,101.543,103.856,nan,27.002
8.200,102.810,103.741,24.830,26.664
8.300,101.139,103.370,27.639,26.809
8.400,100.638,102.953,27.620,26.932
8.500,100.139,102.495,27.156,26.972
8.600,101.866,102.352,27.923,27.119
8.700,100.898,102.074,27.486,27.187
8.800,102.157,102.024,25.448,26.963
8.900,100.377,101.703,25.500,26.767
9.000,104.331,102.038,24.624,26.470
9.100,nan,101.978,25.988,26.384
9.200,100.093,101.589,27.594,26.522
9.300,98.203,100.925,29.321,26.881
9.400,98.050,100.325,27.227,26.933
9.500,105.128,101.000,27.692,27.042
9.600,100.986,100.913,25.762,26.886
9.700,108.779,102.119,26.201,26.799
9.800,101.865,102.075,24.855,26.542
9.900,102.846,102.194,nan,26.524
10.000,105.092,102.659,26.791,26.548
10.100,98.545,102.036,27.279,26.642
10.200,101.782,101.986,26.780,26.655
10.300,107.444,102.835,27.882,26.822
10.400,105.514,103.300,nan,26.827
10.500,nan,103.381,25.926,26.689
10.600,101.037,103.023,26.719,26.690
10.700,102.721,103.010,25.764,26.549
10.800,99.253,102.401,26.425,26.520
10.900,102.148,102.355,25.517,26.365
11.000,108.215,103.321,28.316,26.619
11.100,107.405,104.043,27.485,26.735
11.200,100.998,103.644,25.393,26.553
11.300,99.873,103.101,25.746,26.435
11.400,99.528,102.554,26.259,26.397
11.500,100.634,102.237,28.877,26.715
11.600,100.218,101.887,28.012,26.891
11.700,102.640,101.956,25.052,26.659
11.800,104.852,102.370,25.697,26.531
11.900,102.202,102.331,26.253,26.486
12.000,102.194,102.295,25.967,26.407
12.100,98.422,101.671,25.798,26.313
12.200,100.522,101.436,27.606,26.466
12.300,106.683,102.196,25.879,26.380
12.400,101.312,102.045,27.872,26.564
12.500,103.695,102.284,26.378,26.538
12.600,101.896,102.219,29.304,26.899
12.700,101.522,102.102,23.792,26.508
12.800,105.052,102.551,25.588,26.381
12.900,104.864,102.930,27.218,26.479
13.000,100.714,102.620,26.901,26.529
13.100,101.615,102.478,24.846,26.304
13.200,100.764,102.214,26.669,26.337
13.300,102.066,102.179,26.062,26.288
13.400,101.471,102.055,25.298,26.143
13.500,102.969,102.178,27.515,26.303
13.600,110.443,103.466,26.064,26.260
13.700,102.314,103.357,25.529,26.151
13.800,107.266,104.031,23.710,25.811
13.900,101.576,103.743,25.104,25.681
14.000,104.624,103.954,25.112,25.565
14.100,102.364,103.785,24.973,25.442
14.200,102.929,103.714,27.166,25.621
14.300,98.868,103.007,26.295,25.674
14.400,nan,103.013,25.824,25.663
14.500,105.276,103.426,24.489,25.480
14.600,102.261,103.252,22.884,25.100
14.700,105.697,103.689,24.247,24.931
14.800,100.928,103.267,27.004,25.142
14.900,102.937,103.226,24.913,25.066
15.000,104.914,103.513,24.362,24.925
15.100,102.551,103.384,26.671,25.103
15.200,99.976,102.854,27.527,25.383
15.300,103.508,102.941,24.786,25.284
15.400,101.334,102.676,24.442,25.148
15.500,nan,102.645,24.103,24.979
15.600,103.403,102.757,24.429,24.868
15.700,107.166,103.518,24.714,24.805
15.800,105.925,103.963,nan,24.756
15.900,98.012,103.015,24.558,24.684
16.000,101.810,102.808,25.223,24.719
16.100,101.799,102.625,22.942,24.426
16.200,102.982,102.654,24.946,24.446
16.300,100.226,102.239,23.840,24.314
16.400,104.336,102.526,25.723,24.456
16.500,103.003,102.574,23.892,24.337
16.600,103.580,102.712,23.694,24.204
16.700,83.222,99.621,24.088,24.139
16.800,101.543,99.718,23.641,24.022
16.900,103.437,100.120,20.786,23.536
17.000,104.440,100.654,22.815,23.363
17.100,104.434,101.148,23.298,23.273
17.200,106.216,101.883,26.040,23.558
17.300,100.265,101.619,23.762,23.524
17.400,102.601,101.747,24.356,23.575
17.500,106.267,102.442,24.557,23.653
17.600,106.013,103.032,nan,23.602
17.700,nan,103.109,nan,23.551
17.800,108.448,104.136,22.891,23.399
17.900,106.255,104.631,23.829,23.419
18.000,105.770,104.970,24.292,23.510
18.100,103.169,104.821,23.118,23.414
18.200,nan,104.983,23.078,23.325
18.300,101.413,104.436,23.536,23.313
18.400,102.514,104.175,23.223,23.260
18.500,98.926,103.317,23.158,23.205
18.600,102.091,103.118,23.448,23.197
18.700,101.311,102.813,24.231,23.298
18.800,102.092,102.675,22.884,23.211
18.900,100.875,102.355,24.568,23.359
19.000,102.969,102.410,23.824,23.397
19.100,102.017,102.310,20.931,23.049
19.200,103.910,102.524,22.750,22.971
19.300,100.802,102.227,21.914,22.791
19.400,98.207,101.550,23.263,22.806
19.500,102.298,101.587,22.451,22.715
19.600,nan,101.501,22.594,22.653
19.700,103.199,101.738,22.252,22.554
19.800,99.376,101.272,21.912,22.420
19.900,102.658,101.434,23.563,22.518
20.000,101.441,101.374,23.540,22.608
20.100,101.253,101.294,22.830,22.601
20.200,105.611,101.941,22.379,22.537
20.300,109.719,103.186,21.814,22.406
20.400,99.550,102.663,21.086,22.191
20.500,103.432,102.811,23.624,22.329
20.600,98.273,102.121,23.326,22.421
20.700,104.231,102.442,21.906,22.322
20.800,102.255,102.420,22.531,22.314
20.900,105.337,102.887,23.109,22.386
21.000,105.391,103.316,23.617,22.521
21.100,99.856,102.831,19.959,22.165
21.200,107.554,103.598,22.694,22.198
21.300,100.734,103.219,22.615,22.221
21.400,107.186,103.884,19.342,21.812
21.500,102.426,103.736,22.039,21.792
21.600,108.002,104.472,21.974,21.768
21.700,102.494,104.268,19.796,21.462
21.800,100.175,103.711,17.414,20.868
21.900,102.277,103.530,21.597,20.874
22.000,103.762,103.596,19.591,20.621
22.100,99.236,102.942,22.528,20.780
22.200,102.902,102.923,21.000,20.732
22.300,103.981,103.076,20.730,20.656
22.400,105.091,103.391,nan,20.570
22.500,104.095,103.519,21.543,20.641
22.600,103.323,103.513,20.736,20.590
22.700,100.708,103.095,21.525,20.660
22.800,nan,103.088,21.621,20.740
22.900,102.055,102.896,20.969,20.724
23.000,100.610,102.477,20.006,20.579
23.100,nan,102.427,21.745,20.687
23.200,102.730,102.446,18.434,20.339
23.300,104.935,102.875,20.755,20.337
23.400,103.040,102.896,20.904,20.358
23.500,105.850,103.405,19.764,20.228
23.600,101.505,103.105,17.718,19.840
23.700,105.846,103.567,21.116,19.937
23.800,102.210,103.376,19.766,19.852
23.900,104.437,103.566,19.950,19.801
24.000,101.800,103.310,19.788,19.738
24.100,101.835,103.085,20.069,19.720
24.200,97.742,102.232,21.705,19.923
24.300,104.692,102.564,20.114,19.905
24.400,100.494,102.205,18.424,19.668
24.500,103.417,102.344,18.594,19.475
24.600,102.844,102.383,20.100,19.497
24.700,104.214,102.636,20.751,19.608
24.800,99.188,102.079,19.728,19.579
24.900,104.455,102.402,19.380,19.509
25.000,102.624,102.412,21.070,19.670
25.100,105.529,102.878,19.570,19.624
25.200,101.648,102.694,19.153,19.529
25.300,98.984,102.107,21.022,19.689
25.400,102.915,102.193,18.508,19.508
25.500,nan,102.154,17.256,19.178
25.600,100.791,101.877,18.501,19.039
25.700,105.942,102.545,18.302,18.887
25.800,103.653,102.733,18.936,18.834
25.900,104.807,103.092,19.486,18.861
26.000,103.990,103.272,19.558,18.900
26.100,108.998,104.251,16.895,18.588
26.200,103.005,104.146,18.781,18.551
26.300,100.001,103.563,18.444,18.477
26.400,99.636,102.977,18.184,18.378
26.500,102.572,102.914,18.602,18.345
26.600,101.562,102.698,17.799,18.213
26.700,106.953,103.355,17.104,18.004
26.800,102.814,103.296,18.846,18.044
26.900,105.653,103.689,18.353,18.020
27.000,103.723,103.738,18.003,17.956
27.100,102.306,103.558,18.826,18.010
27.200,97.959,102.708,17.046,17.829
27.300,106.969,103.350,21.755,18.285
27.400,100.650,102.942,18.894,18.334
27.500,105.117,103.273,19.027,18.399
27.600,103.053,103.249,18.825,18.434
27.700,101.574,102.994,20.012,18.624
27.800,104.400,103.207,17.459,18.464
27.900,99.315,102.601,17.392,18.309
28.000,107.645,103.360,18.981,18.375
28.100,104.724,103.592,18.576,18.384
28.200,102.495,103.451,17.630,18.269
28.300,105.740,103.830,17.116,18.096
28.400,106.660,104.317,17.174,17.946
28.500,106.262,104.693,19.304,18.089
28.600,103.816,104.644,18.216,18.080
28.700,109.517,105.489,19.204,18.203
28.800,101.708,105.022,17.967,18.156
28.900,153.902,112.787,16.673,17.943
29.000,102.506,111.747,18.886,18.039
29.100,104.456,111.068,17.369,17.930
29.200,109.555,111.217,16.769,17.751
29.300,103.612,110.390,18.592,17.828
29.400,102.793,109.484,16.546,17.631
29.500,107.066,109.312,nan,17.589
29.600,104.765,108.779,nan,17.546
29.700,107.669,108.738,18.745,17.710
29.800,108.297,108.790,17.567,17.662
29.900,108.693,108.890,16.367,17.436
30.000,103.043,108.084,17.168,17.359
30.100,105.972,107.806,19.806,17.680
30.200,104.911,107.382,18.365,17.759
30.300,105.226,107.045,17.221,17.670
30.400,105.620,106.802,15.633,17.368
30.500,100.897,105.841,17.282,17.324
30.600,80.828,101.821,15.553,17.049
30.700,100.935,101.341,16.443,16.921
30.800,102.616,101.195,16.035,16.752
30.900,101.330,100.887,16.875,16.712
31.000,104.605,101.147,18.169,16.851
31.100,100.830,100.815,15.463,16.623
31.200,103.245,100.913,15.250,16.388
31.300,106.924,101.602,16.688,16.364
31.400,103.205,101.662,16.496,16.321
31.500,100.335,101.280,16.217,16.248
31.600,101.822,101.180,18.224,16.449
31.700,103.285,101.333,15.914,16.335
31.800,106.515,101.993,19.277,16.674
31.900,107.392,102.740,16.490,16.624
32.000,100.008,102.266,17.142,16.666
32.100,104.342,102.519,15.923,16.545
32.200,105.105,102.875,17.655,16.663
32.300,100.805,102.526,17.206,16.715
32.400,105.256,102.910,18.901,16.988
32.500,106.436,103.447,16.452,16.918
32.600,103.956,103.546,17.614,17.007
32.700,103.300,103.531,15.466,16.805
32.800,102.866,103.447,17.875,16.937
32.900,nan,103.464,nan,16.935
33.000,106.058,103.945,16.354,16.848
33.100,104.944,104.163,17.827,16.984
33.200,105.938,104.520,18.230,17.165
33.300,103.433,104.408,15.735,16.974
33.400,106.651,104.839,16.918,16.967
33.500,107.881,105.419,17.479,17.037
33.600,106.039,105.631,16.506,16.969
33.700,103.630,105.425,16.406,16.892
33.800,103.444,105.204,16.861,16.883
33.900,96.187,103.845,17.871,17.011
34.000,102.617,103.634,17.737,17.111
34.100,nan,103.601,17.440,17.163
34.200,103.805,103.610,17.473,17.215
34.300,107.351,104.244,18.345,17.377
34.400,104.591,104.319,16.875,17.331
34.500,106.084,104.635,15.743,17.139
34.600,103.066,104.412,18.663,17.345
34.700,100.971,103.869,18.097,17.460
34.800,104.745,103.996,17.077,17.432
34.900,85.817,101.068,18.043,17.531
35.000,102.806,101.158,16.690,17.443
35.100,101.017,100.968,nan,17.463
35.200,103.766,101.244,17.826,17.533
35.300,103.892,101.524,16.439,17.393
35.400,106.466,102.194,16.510,17.277
35.500,102.164,102.130,17.437,17.303
35.600,107.311,102.886,18.091,17.417
35.700,106.032,103.374,nan,17.430
35.800,104.733,103.613,16.877,17.354
35.900,101.811,103.368,17.460,17.376
36.000,109.169,104.299,18.257,17.512
36.100,105.498,104.565,16.939,17.443
36.200,107.806,105.163,18.938,17.664
36.300,105.228,105.293,17.830,17.708
36.400,141.303,111.070,17.147,17.651
36.500,105.511,110.675,18.456,17.778
36.600,104.294,110.090,18.504,17.900
36.700,102.369,109.225,16.091,17.684
36.800,108.617,109.396,18.276,17.778
36.900,103.906,108.791,17.569,17.769
37.000,109.535,109.107,17.258,17.718
37.100,107.245,109.019,17.628,17.719
37.200,105.620,108.669,19.948,18.027
37.300,102.299,107.815,18.954,18.178
37.400,101.359,106.883,16.769,18.027
37.500,108.038,107.081,17.801,18.022
37.600,106.734,107.054,17.229,17.940
37.700,106.915,107.056,18.760,18.065
37.800,111.034,107.703,18.038,18.084
37.900,104.917,107.327,17.667,18.051
38.000,103.592,106.774,18.561,18.138
38.100,104.093,106.348,18.523,18.211
38.200,107.591,106.512,18.050,18.215
38.300,102.657,105.888,nan,18.242
38.400,104.817,105.663,17.696,18.185
38.500,108.368,106.021,19.081,18.334
38.600,107.074,106.148,18.168,18.336
38.700,109.283,106.612,17.337,18.219
38.800,102.665,105.996,18.130,18.223
38.900,105.459,105.876,18.057,18.216
39.000,107.255,106.052,18.558,18.277
39.100,110.187,106.674,18.283,18.295
39.200,106.804,106.710,18.299,18.312
39.300,105.684,106.565,18.173,18.310
39.400,101.670,105.802,17.956,18.278
39.500,109.551,106.348,16.694,18.080
39.600,103.569,105.906,17.434,17.995
39.700,106.800,106.013,18.257,18.026
39.800,109.565,106.547,18.064,18.029
39.900,104.595,106.253,18.975,18.152
40.000,109.323,106.728,19.512,18.337
40.100,104.383,106.383,17.932,18.299
40.200,103.676,105.957,19.043,18.409
40.300,109.680,106.514,17.872,18.356
40.400,109.383,106.975,17.198,18.217
40.500,107.310,107.066,17.808,18.168
40.600,107.395,107.159,20.075,18.421
40.700,104.435,106.776,16.636,18.202
40.800,104.284,106.401,19.451,18.369
40.900,109.774,106.922,18.189,18.357
41.000,103.229,106.368,17.688,18.279
41.100,105.176,106.169,19.931,18.502
41.200,104.699,105.914,19.019,18.587
41.300,103.328,105.470,20.183,18.819
41.400,104.345,105.230,20.044,19.013
41.500,107.981,105.588,18.407,18.975
41.600,107.671,105.869,18.574,18.959
41.700,104.341,105.605,18.587,18.943
41.800,106.381,105.688,17.599,18.796
41.900,103.525,105.317,18.717,18.806
42.000,108.266,105.728,19.588,18.928
42.100,102.156,105.145,18.739,18.929
42.200,101.553,104.523,16.975,18.695
42.300,105.577,104.596,18.478,18.675
42.400,105.076,104.590,19.081,18.735
42.500,104.642,104.523,19.612,18.861
42.600,102.534,104.136,19.912,19.016
42.700,104.804,104.148,19.826,19.147
42.800,103.126,103.903,19.688,19.248
42.900,108.977,104.605,21.581,19.589
43.000,108.133,105.116,22.651,20.043
43.100,105.948,105.240,20.228,20.140
43.200,104.395,105.109,19.785,20.167
43.300,105.488,105.161,19.709,20.177
43.400,106.148,105.313,19.382,20.138
43.500,105.013,105.273,19.814,20.155
43.600,nan,105.277,17.839,19.907
43.700,104.126,105.073,19.160,19.848
43.800,104.070,104.888,20.358,19.949
43.900,118.097,107.136,20.222,20.022
44.000,106.292,107.113,19.754,20.025
44.100,108.628,107.474,20.167,20.080
44.200,nan,107.622,18.296,19.882
44.300,106.955,107.618,19.633,19.873
44.400,106.659,107.557,17.991,19.647
44.500,104.498,107.122,20.894,19.819
44.600,101.704,106.264,17.078,19.474
44.700,103.212,105.765,18.693,19.368
44.800,108.572,106.208,19.303,19.350
44.900,108.000,106.509,19.594,19.372
45.000,103.401,106.035,20.136,19.465
45.100,106.315,106.075,18.491,19.334
45.200,nan,106.074,20.219,19.441
45.300,103.447,105.593,18.936,19.372
45.400,100.568,104.674,20.114,19.463
45.500,106.283,104.867,19.200,19.427
45.600,104.706,104.774,19.907,19.488
45.700,107.370,105.137,17.618,19.242
45.800,102.079,104.596,21.269,19.496
45.900,105.617,104.690,19.422,19.488
46.000,104.358,104.577,20.139,19.575
46.100,107.576,104.993,18.773,19.475
46.200,nan,104.955,17.960,19.276
46.300,100.845,104.175,21.172,19.515
46.400,110.901,105.288,21.624,19.795
46.500,106.500,105.494,19.278,19.746
46.600,106.346,105.647,20.887,19.911
46.700,107.284,105.937,20.876,20.061
46.800,108.334,106.365,17.654,19.774
46.900,104.543,106.128,20.097,19.828
47.000,nan,106.175,21.628,20.079
47.100,102.918,105.613,17.964,19.828
47.200,108.021,106.044,21.149,20.013
47.300,104.044,105.725,19.334,19.945
47.400,107.789,106.082,19.636,19.920
47.500,102.682,105.543,18.212,19.709
47.600,103.292,105.166,19.370,19.665
47.700,105.432,105.179,18.575,19.520
47.800,100.892,104.462,20.364,19.621
47.900,106.868,104.778,19.292,19.574
48.000,104.310,104.659,19.041,19.498
48.100,110.524,105.540,19.689,19.514
48.200,104.268,105.349,16.920,19.164
48.300,98.515,104.268,nan,19.132
48.400,106.442,104.540,19.310,19.132
48.500,nan,104.483,20.687,19.333
48.600,101.284,103.858,20.259,19.453
48.700,106.729,104.281,18.399,19.299
48.800,104.411,104.253,10.991,18.127
48.900,103.582,104.091,18.967,18.166
49.000,101.736,103.645,19.538,18.284
49.100,102.910,103.446,nan,18.216
49.200,103.200,103.321,17.243,18.010
49.300,103.010,103.184,17.809,17.915
49.400,101.806,102.875,17.761,17.826
49.500,100.534,102.400,21.338,18.260
49.600,103.493,102.450,19.970,18.461
49.700,102.326,102.318,19.003,18.509
49.800,104.037,102.478,18.568,18.495
49.900,104.831,102.755,17.226,18.300
50.000,106.040,103.203,18.578,18.307
50.100,102.677,103.085,19.330,18.415
50.200,102.504,102.954,19.687,18.564
50.300,104.049,103.081,19.895,18.730
50.400,103.786,103.158,17.434,18.556
50.500,102.431,103.017,18.277,18.508
50.600,98.766,102.316,18.874,18.543
50.700,105.403,102.726,20.807,18.832
50.800,102.729,102.682,17.238,18.628
50.900,104.857,102.981,18.389,18.591
51.000,100.354,102.547,nan,18.583
51.100,103.496,102.650,18.765,18.603
51.200,100.793,102.321,18.640,18.603
51.300,nan,102.256,17.157,18.390
51.400,107.605,103.168,18.944,18.452
