Zeit (s),HR roh,HR gefiltert,RR roh,RR gefiltert
0.000,103.108,102.694,23.622,23.729
0.300,98.802,100.634,26.153,25.201
0.600,119.825,110.060,25.641,25.682
0.900,98.385,105.683,25.151,25.588
1.200,97.988,102.264,26.254,26.080
1.500,101.803,101.735,24.482,25.480
1.800,102.385,101.676,23.784,24.788
2.100,102.076,101.549,25.650,25.092
2.400,100.940,101.075,26.217,25.508
2.700,102.714,101.351,25.969,25.713
3.000,95.917,99.441,25.593,25.739
3.300,99.554,99.100,25.745,25.799
3.600,100.402,99.094,25.456,25.763
3.900,97.621,98.379,27.812,26.344
4.200,101.757,98.864,27.341,26.683
4.500,102.685,99.491,24.915,26.383
4.800,98.957,99.159,25.023,26.161
5.100,102.403,99.658,26.424,26.273
5.400,123.390,104.556,26.234,26.325
5.700,99.015,103.617,25.225,26.168
6.000,103.172,103.651,26.441,26.263
6.300,100.744,103.195,25.704,26.207
6.600,94.578,101.609,26.504,26.300
6.900,98.241,100.931,28.725,26.766
7.200,83.177,97.538,25.816,26.673
7.500,93.871,96.557,26.938,26.776
7.800,94.409,95.819,26.239,26.749
8.100,99.345,96.085,26.954,26.836
8.400,99.262,96.332,27.334,26.971
8.700,98.622,96.461,27.115,27.054
9.000,98.548,96.582,26.999,27.107
9.300,97.535,96.531,28.231,27.339
9.600,96.378,96.299,25.744,27.167
9.900,99.399,96.638,26.135,27.067
10.200,96.494,96.449,26.651,27.050
10.500,98.553,96.653,27.946,27.224
10.800,100.105,97.119,27.685,27.341
11.100,98.960,97.347,25.985,27.193
11.400,95.155,96.894,26.358,27.109
11.700,96.913,96.802,26.334,27.027
12.000,98.490,97.002,27.660,27.145
12.300,94.623,96.515,27.609,27.243
12.600,102.414,97.444,27.493,27.313
12.900,96.755,97.295,27.391,27.360
13.200,95.307,96.913,27.312,27.389
13.500,94.730,96.473,26.651,27.316
13.800,109.224,98.611,26.775,27.266
14.100,96.499,98.311,27.421,27.312
14.400,96.961,98.118,27.470,27.359
14.700,95.619,97.708,24.708,26.998
15.000,94.208,97.094,27.169,27.024
15.300,93.557,96.432,25.229,26.766
15.600,97.734,96.572,25.745,26.604
15.900,95.106,96.246,26.573,26.578
16.200,92.477,95.502,25.416,26.387
16.500,94.092,95.126,27.303,26.489
16.800,98.059,95.492,26.112,26.411
17.100,96.309,95.526,25.608,26.268
17.400,92.954,94.981,24.737,26.011
17.700,95.649,94.971,27.287,26.151
18.000,94.099,94.703,25.553,26.029
18.300,91.874,94.085,24.706,25.797
18.600,90.531,93.309,23.859,25.463
18.900,93.524,93.149,24.415,25.243
19.200,nan,92.918,25.298,25.175
19.500,91.699,92.486,20.172,24.370
19.800,91.542,92.102,22.287,23.949
20.100,89.025,91.305,23.413,23.735
20.400,134.413,99.107,23.894,23.620
20.700,92.441,98.169,22.704,23.351
21.000,92.027,97.257,22.984,23.155
21.300,92.517,96.533,23.486,23.059
21.600,92.408,95.867,23.838,23.033
21.900,93.358,95.441,23.113,22.914
22.200,90.224,94.511,24.856,23.068
22.500,90.197,93.681,24.503,23.167
22.800,92.603,93.368,22.633,22.992
23.100,89.523,92.562,22.962,22.887
23.400,89.428,91.837,22.869,22.784
23.700,90.909,91.462,22.595,22.658
24.000,91.559,91.257,23.358,22.660
24.300,89.774,90.782,20.640,22.273
24.600,90.836,90.560,24.021,22.419
24.900,90.590,90.338,22.486,22.336
25.200,92.110,90.423,23.146,22.363
25.500,90.803,90.290,22.379,22.282
25.800,132.261,97.414,23.934,22.441
26.100,92.905,96.937,23.718,22.561
26.400,89.517,95.895,22.875,22.552
26.700,92.368,95.439,nan,22.492
27.000,91.200,94.816,23.346,22.583
27.300,90.798,94.179,21.842,22.422
27.600,88.926,93.278,22.394,22.369
27.900,92.218,93.045,18.545,21.722
28.200,70.026,88.973,23.150,21.860
28.500,88.525,88.562,22.642,21.910
28.800,90.926,88.642,23.059,22.022
29.100,89.745,88.534,22.737,22.079
29.400,92.192,88.889,22.752,22.135
29.700,90.556,88.944,24.007,22.375
30.000,87.998,88.568,22.457,22.366
30.300,92.359,89.008,21.514,22.221
30.600,90.434,89.085,23.075,22.319
30.900,89.866,89.068,23.727,22.506
31.200,91.826,89.408,24.588,22.804
31.500,89.214,89.268,23.798,22.961
31.800,92.366,89.701,22.924,22.976
32.100,89.504,89.598,22.182,22.880
32.400,91.741,89.901,22.528,22.841
32.700,89.542,89.795,24.083,23.031
33.000,87.826,89.404,23.570,23.130
33.300,88.218,89.128,23.244,23.172
33.600,89.056,89.032,25.198,23.493
33.900,89.699,89.065,23.580,23.549
34.200,89.202,89.016,23.623,23.603
34.500,88.141,88.792,25.219,23.883
34.800,86.941,88.389,24.248,23.993
35.100,85.924,87.859,24.576,24.139
35.400,90.272,88.150,24.901,24.315
35.700,83.690,87.275,24.154,24.362
36.000,86.001,86.903,25.917,24.657
36.300,88.988,87.103,24.817,24.762
36.600,86.898,86.932,24.652,24.828
36.900,83.779,86.246,24.788,24.903
37.200,91.976,87.073,25.428,25.059
37.500,82.862,86.238,24.747,25.096
37.800,nan,86.056,25.297,25.205
38.100,87.361,86.176,26.118,25.418
38.400,90.250,86.848,25.765,25.557
38.700,87.049,86.814,25.780,25.679
39.000,89.419,87.231,25.106,25.686
39.300,93.144,88.279,25.893,25.801
39.600,90.543,88.724,25.532,25.847
39.900,87.705,88.603,26.110,25.968
40.200,nan,88.662,26.144,26.078
40.500,87.906,88.553,27.552,26.377
40.800,83.947,87.677,26.841,26.542
41.100,85.179,87.175,26.197,26.591
41.400,87.925,87.263,26.203,26.630
41.700,87.450,87.254,27.535,26.854
42.000,85.951,86.977,29.769,27.377
42.300,88.819,87.251,26.588,27.385
42.600,77.367,85.462,29.798,27.852
42.900,84.085,85.069,28.466,28.077
43.200,86.757,85.202,26.778,28.026
43.500,86.277,85.249,28.875,28.276
43.800,85.999,85.253,28.438,28.432
44.100,78.302,83.923,29.964,28.788
44.400,83.779,83.701,28.992,28.962
44.700,85.296,83.783,28.796,29.083
45.000,86.321,84.051,30.662,29.455
45.300,85.247,84.118,28.261,29.435
45.600,87.930,84.657,28.289,29.410
45.900,87.554,85.084,28.507,29.409
46.200,83.438,84.755,29.281,29.511
46.500,85.656,84.850,29.412,29.616
46.800,87.148,85.201,28.603,29.585
47.100,89.023,85.846,30.302,29.796
47.400,86.785,86.033,30.583,30.023
47.700,83.312,85.593,28.849,29.969
48.000,59.605,81.063,29.015,29.936
48.300,84.132,81.291,30.755,30.152
48.600,56.177,76.646,30.505,30.306
48.900,87.251,77.934,30.231,30.400
49.200,85.548,78.835,28.848,30.277
49.500,85.193,79.613,30.637,30.418
49.800,86.330,80.534,30.862,30.573
50.100,88.136,81.693,30.409,30.643
50.400,82.036,81.678,30.403,30.699
50.700,81.456,81.571,29.005,30.540
51.000,81.083,81.415,29.780,30.501
51.300,83.159,81.644,30.508,30.567
51.600,83.088,81.842,30.239,30.583
51.900,82.459,81.914,30.444,30.624
52.200,83.341,82.135,29.738,30.553
52.500,82.061,82.112,30.259,30.561
52.800,82.776,82.216,30.043,30.532
53.100,83.266,82.396,29.913,30.484
53.400,80.979,82.158,30.188,30.477
53.700,81.620,82.057,29.622,30.386
54.000,83.069,82.220,29.866,30.335
54.300,81.921,82.166,29.570,30.244
54.600,84.142,82.505,30.630,30.314
54.900,82.902,82.593,32.658,30.673
55.200,88.472,83.640,30.171,30.637
55.500,80.447,83.176,28.814,30.404
55.800,82.968,83.193,29.531,30.292
56.100,83.481,83.293,28.590,30.052
56.400,79.514,82.687,30.253,30.075
56.700,79.281,82.100,29.693,30.014
57.000,82.691,82.170,30.322,30.051
57.300,81.991,82.112,29.478,29.961
57.600,82.245,82.108,28.761,29.776
57.900,80.782,81.851,28.697,29.597
58.200,77.331,81.022,26.337,29.091
58.500,82.844,81.245,29.640,29.113
58.800,84.262,81.700,31.807,29.452
59.100,80.458,81.449,29.328,29.405
59.400,80.700,81.270,28.339,29.220
59.700,77.278,80.517,30.805,29.412
60.000,76.679,79.745,28.584,29.267
60.300,77.911,79.278,28.639,29.144
60.600,81.072,79.424,26.609,28.737
60.900,76.105,78.702,28.938,28.708
61.200,80.381,78.814,28.050,28.555
61.500,79.597,78.792,28.373,28.467
61.800,nan,78.614,28.119,28.354
62.100,78.826,78.516,27.928,28.227
62.400,78.415,78.358,26.799,27.950
62.700,76.429,77.853,27.938,27.868
63.000,81.430,78.360,27.926,27.798
63.300,78.392,78.251,27.797,27.720
63.600,75.505,77.641,27.059,27.546
63.900,73.411,76.739,28.087,27.543
64.200,76.117,76.436,27.717,27.492
64.500,nan,76.196,27.556,27.427
64.800,77.380,76.247,27.903,27.423
65.100,86.861,78.168,26.852,27.272
65.400,76.409,77.794,27.856,27.285
65.700,78.691,77.903,28.167,27.347
66.000,73.888,77.119,27.649,27.333
66.300,78.686,77.308,26.462,27.152
66.600,72.337,76.342,27.219,27.100
66.900,73.299,75.669,nan,27.029
67.200,74.401,75.278,26.954,26.957
67.500,78.153,75.603,26.746,26.863
67.800,72.851,74.977,27.043,26.831
68.100,75.470,74.889,27.122,26.818
68.400,69.048,73.703,26.932,26.780
