Zeit (s),HR roh,HR gefiltert,RR roh,RR gefiltert
0.000,96.213,96.922,25.201,25.178
0.100,99.462,98.159,27.482,26.518
0.200,101.242,99.644,22.971,24.727
0.300,98.857,99.566,24.993,24.672
0.400,96.838,98.541,nan,24.366
0.500,98.681,98.588,24.116,24.096
0.600,99.629,99.002,26.205,25.009
0.700,nan,99.084,25.071,25.009
0.800,98.629,98.919,26.227,25.446
0.900,97.297,98.318,24.898,25.285
1.000,99.112,98.553,26.151,25.565
1.100,97.661,98.269,24.698,25.345
1.200,101.205,99.065,23.894,24.959
1.300,96.595,98.452,24.268,24.757
1.400,101.852,99.277,25.339,24.858
1.500,103.698,100.364,26.250,25.150
1.600,101.256,100.691,24.512,25.007
1.700,99.680,100.617,nan,24.990
1.800,101.862,100.998,25.695,25.147
1.900,92.758,99.501,23.759,24.837
2.000,97.495,99.143,26.975,25.259
2.100,95.209,98.408,26.724,25.553
2.200,100.624,98.767,28.777,26.177
2.300,nan,98.743,26.344,26.267
2.400,102.448,99.483,26.085,26.297
2.500,99.945,99.601,25.611,26.242
2.600,99.214,99.561,26.610,26.353
2.700,96.288,98.998,25.170,26.223
2.800,97.605,98.746,26.191,26.263
2.900,98.288,98.645,28.113,26.584
3.000,104.903,99.671,27.233,26.738
3.100,98.652,99.540,27.238,26.874
3.200,97.816,99.285,26.583,26.900
3.300,98.657,99.192,27.446,27.042
3.400,100.167,99.352,25.808,26.938
3.500,94.821,98.640,26.304,26.909
3.600,99.499,98.744,24.825,26.677
3.700,99.341,98.815,27.306,26.799
3.800,nan,98.794,25.512,26.667
3.900,100.960,99.169,25.645,26.561
4.000,97.342,98.854,27.606,26.724
4.100,101.170,99.240,25.995,26.658
4.200,98.358,99.103,24.925,26.453
4.300,105.059,100.094,25.559,26.346
4.400,101.195,100.338,24.660,26.128
4.500,98.410,100.099,24.697,25.932
4.600,103.313,100.670,24.438,25.717
4.700,101.520,100.891,26.860,25.840
4.800,102.395,101.223,nan,25.817
4.900,nan,101.350,24.433,25.592
5.000,99.421,101.103,25.702,25.578
5.100,100.491,101.077,25.854,25.588
5.200,101.911,101.295,24.538,25.413
5.300,100.544,101.251,25.595,25.403
5.400,99.757,101.077,26.313,25.496
5.500,98.369,100.691,26.829,25.652
5.600,99.873,100.588,24.883,25.532
5.700,101.747,100.796,25.908,25.561
5.800,103.740,101.300,25.934,25.593
5.900,101.258,101.355,24.964,25.493
6.000,103.063,101.687,27.187,25.698
6.100,97.191,101.054,26.366,25.780
6.200,98.738,100.720,24.582,25.618
6.300,99.011,100.459,27.849,25.902
6.400,99.847,100.354,25.543,25.860
6.500,nan,100.336,27.444,26.071
6.600,nan,100.318,25.701,26.037
6.700,101.418,100.530,25.319,25.953
6.800,102.199,100.854,26.068,25.974
6.900,103.308,101.329,25.707,25.946
7.000,102.014,101.497,27.298,26.129
7.100,106.624,102.442,26.207,26.154
7.200,101.087,102.317,25.865,26.131
7.300,101.627,102.292,26.748,26.225
7.400,101.164,102.190,25.984,26.210
7.500,105.591,102.812,nan,26.228
7.600,100.655,102.569,27.900,26.491
7.700,104.582,102.971,26.688,26.549
7.800,102.391,102.979,27.237,26.677
7.900,102.611,103.015,25.068,26.485
8.000,99.007,102.471,28.058,26.727
8.100,98.041,101.822,28.554,27.014
8.200,99.107,101.398,25.996,26.922
8.300,99.067,101.008,27.077,26.983
8.400,103.813,101.402,27.781,27.131
8.500,102.844,101.610,27.962,27.289
8.600,101.454,101.582,27.662,27.391
8.700,102.857,101.777,27.211,27.422
8.800,99.364,101.406,26.432,27.343
8.900,nan,101.386,25.801,27.184
9.000,103.877,101.820,27.216,27.221
9.100,104.956,102.383,26.065,27.102
9.200,99.771,101.979,26.951,27.106
9.300,100.812,101.800,27.588,27.193
9.400,nan,101.807,25.737,27.027
9.500,99.985,101.466,29.720,27.398
9.600,102.583,101.654,27.969,27.508
9.700,102.365,101.777,27.571,27.555
9.800,101.133,101.670,29.451,27.844
9.900,103.812,102.028,27.652,27.872
10.000,100.274,101.757,28.843,28.051
10.100,98.772,101.271,29.401,28.287
10.200,98.965,100.870,28.002,28.316
10.300,99.501,100.600,28.311,28.380
10.400,101.905,100.744,27.323,28.305
10.500,100.514,100.657,27.646,28.274
10.600,103.607,101.071,26.321,28.067
10.700,96.718,100.362,26.717,27.924
10.800,104.178,100.898,28.567,28.034
10.900,98.714,100.528,29.132,28.208
11.000,98.869,100.219,27.483,28.150
11.100,99.208,99.996,28.504,28.229
11.200,102.707,100.349,27.145,28.120
11.300,99.865,100.228,29.889,28.379
11.400,102.573,100.546,27.158,28.257
11.500,101.119,100.611,28.877,28.368
11.600,100.641,100.596,27.752,28.321
11.700,102.863,100.933,29.399,28.492
11.800,99.443,100.703,26.991,28.331
11.900,95.520,99.877,27.536,28.251
12.000,103.267,100.347,28.344,28.283
12.100,102.950,100.728,27.812,28.240
12.200,104.015,101.243,27.305,28.133
12.300,99.047,100.929,28.523,28.193
12.400,105.731,101.693,27.759,28.148
12.500,102.590,101.891,27.727,28.101
12.600,99.246,101.540,28.251,28.126
12.700,101.186,101.522,25.920,27.842
12.800,105.290,102.148,26.327,27.632
12.900,102.428,102.263,29.759,27.891
13.000,103.198,102.483,27.649,27.854
13.100,102.239,102.527,28.023,27.869
13.200,105.643,103.094,28.823,27.989
13.300,118.362,105.601,27.483,27.924
13.400,101.628,105.237,27.938,27.924
13.500,101.762,104.908,28.197,27.957
13.600,103.839,104.920,29.546,28.167
13.700,102.276,104.671,28.373,28.205
13.800,80.154,100.960,26.311,27.969
13.900,101.878,100.996,24.687,27.536
14.000,103.174,101.240,29.961,27.830
14.100,99.798,100.939,29.939,28.100
14.200,101.780,100.982,27.931,28.086
14.300,100.459,100.821,29.108,28.228
14.400,101.212,100.800,28.979,28.341
14.500,104.123,101.243,27.753,28.284
14.600,99.894,100.987,26.717,28.093
14.700,106.437,101.786,29.540,28.287
14.800,nan,101.783,26.003,28.001
14.900,96.701,100.865,29.449,28.189
15.000,98.058,100.313,28.155,28.193
15.100,100.950,100.335,30.369,28.487
15.200,100.266,100.242,29.424,28.635
15.300,101.643,100.394,26.641,28.403
15.400,102.910,100.741,27.083,28.245
15.500,102.982,101.065,29.457,28.410
15.600,102.325,101.251,nan,28.427
